page_id	page_title	article_edits	article_bot_edits	article_bot_editors	article_registered_edits	article_registered_editors	article_anon_edits	article_anon_editors	article_sum_bytes_changed	article_insertion_edits	article_bytes_added	article_removal_edits	article_bytes_removed	talk_edits	talk_bot_edits	talk_bot_editors	talk_registered_edits	talk_registered_editors	talk_anon_edits	talk_anon_editors	talk_sum_bytes_changed	talk_insertion_edits	talk_bytes_added	talk_removal_edits	talk_bytes_removed
64935	Bartholomew_the_Apostle	51	7	4	25	21	19	10	6446	24	3220	26	3226	2	1	1	25	0	1	1	452	2	452	0	0
4091	Bartolomeo_Ammannati	1	1	1	0	0	0	0	13	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0
45592	Bartolomeu_Dias	95	10	3	40	27	45	25	21221	45	10754	41	10467	0	0	0	40	0	0	0	0	0	0	0	0
61096	Bartolomeu_de_Gusmão	4	1	1	2	1	1	1	338	0	0	4	338	0	0	0	2	0	0	0	0	0	0	0	0
69830	Bartolomé_de_las_Casas	24	2	2	14	10	8	6	725	15	549	8	176	0	0	0	14	0	0	0	0	0	0	0	0
88179	Barton_Turf	5	0	0	5	1	0	0	688	3	681	2	7	0	0	0	5	0	0	0	0	0	0	0	0
67452	Baruch_Goldstein	66	4	4	45	14	17	10	5961	30	3674	29	2287	0	0	0	45	0	0	0	0	0	0	0	0
3408	Baruch_Spinoza	106	7	4	59	23	40	26	10936	67	6409	33	4527	0	0	0	59	0	0	0	0	0	0	0	0
4584	Baryon	13	1	1	7	4	5	5	81	4	56	7	25	0	0	0	7	0	0	0	0	0	0	0	0
59442	Baryte	21	2	2	15	8	4	3	22028	6	11315	12	10713	0	0	0	15	0	0	0	0	0	0	0	0
4836	Barış_Manço	16	2	2	9	7	5	4	755	7	249	5	506	0	0	0	9	0	0	0	0	0	0	0	0
76220	Bas-Saint-Laurent	5	2	2	2	2	1	1	152	4	93	1	59	0	0	0	2	0	0	0	0	0	0	0	0
43534	Basalt	16	1	1	15	12	0	0	765	10	713	5	52	0	0	0	15	0	0	0	0	0	0	0	0
52750	Basarab_I_of_Wallachia	168	6	3	153	13	9	5	27456	90	16792	72	10664	0	0	0	153	0	0	0	0	0	0	0	0
4011	Base	9	1	1	5	4	3	1	1113	6	617	3	496	0	0	0	5	0	0	0	0	0	0	0	0
59220	Base_(topology)	1	0	0	1	1	0	0	141	1	141	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4292	Base_pair	10	1	1	5	4	4	3	978	8	964	2	14	0	0	0	5	0	0	0	0	0	0	0	0
58650	Base_unit_(measurement)	8	0	0	7	5	1	1	168	6	163	2	5	0	0	0	7	0	0	0	0	0	0	0	0
